30
-2 2
-2 2
-2 2
0.8063510 0.5233212 -0.2755593 0.660913 7
-0.2227892 -0.6001473 0.7682370 0.660913 6
0.4327307 -0.5221975 0.7348836 0.660913 6
-0.9959834 -0.0798622 0.0404846 0.660913 7
-0.3270902 0.5391088 -0.7761274 0.660913 6
-0.2447094 -0.5791103 -0.7776559 0.660913 7
-0.7425029 -0.1978927 0.6399437 0.660913 7
-0.8125879 0.4997377 0.2999387 0.660913 7
0.4233320 -0.8661515 -0.2656531 0.660913 7
0.2793420 0.7421395 -0.6092594 0.660913 7
0.8011391 -0.5681952 0.1879636 0.660913 7
-0.7552093 -0.5484628 -0.3589534 0.660913 6
0.0562938 -0.0465666 0.9973277 0.660913 7
0.2358835 0.9717375 0.0092319 0.660913 7
-0.3782778 0.8982656 -0.2236624 0.660913 7
0.8869346 -0.2528839 -0.3865188 0.660913 7
-0.2418573 -0.9435573 -0.2262845 0.660913 6
0.5858417 0.1740076 -0.7915244 0.660913 6
0.6811112 0.6354935 0.3636420 0.660913 6
-0.6351353 -0.0458528 -0.7710387 0.660913 7
-0.2741081 0.8612109 0.4279959 0.660913 6
0.1280610 -0.9382349 0.3214276 0.660913 7
-0.8277524 0.4325347 -0.3574068 0.660913 6
0.1886252 0.5701858 0.7995678 0.660913 7
-0.6302160 -0.7300628 0.2642651 0.660913 7
0.6517954 0.1011494 0.7516193 0.660913 7
-0.4369519 0.3583231 0.8250319 0.660913 6
0.9809083 0.0761811 0.1789283 0.660913 6
-0.0167886 0.0001074 -0.9998591 0.660913 7
0.4058217 -0.4620499 -0.7885548 0.660913 6
